Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"response = sendRequest(findTestObject(""phs-transaction/SetStatusSave"", [""endpoint"":endpoint, ""reqType"":findTestData(""phs-transaction/setStatusSave"").getValue(1, 1), ""id"":findTestData(""phs-transaction/setStatusSave"").getValue(2, 1), ... ]))",,,,2019-07-29 19:10:08,2019-07-29 19:10:09,0.351s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:09,2019-07-29 19:10:09,0.017s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:09,2019-07-29 19:10:09,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/statusBpm,,,,2019-07-29 19:10:09,2019-07-29 19:10:09,0.513s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/statusBpm"", [""endpoint"":endpoint, ""statusBpm"":findTestData(""phs-transaction/statusBpm"").getValue(1, 1)]))",,,,2019-07-29 19:10:09,2019-07-29 19:10:09,0.092s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:09,2019-07-29 19:10:09,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:09,2019-07-29 19:10:09,0.000s,PASSED
,,,,,,,
Test Cases/phs-transaction/statusCm,,,,2019-07-29 19:10:09,2019-07-29 19:10:21,12.190s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/statusCm"", [""endpoint"":endpoint, ""statusCm"":findTestData(""phs-transaction/statusCm"").getValue(1, 1)]))",,,,2019-07-29 19:10:10,2019-07-29 19:10:21,11.809s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:21,2019-07-29 19:10:21,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:21,2019-07-29 19:10:21,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/updateAlterNumber,,,,2019-07-29 19:10:21,2019-07-29 19:10:22,0.597s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/updateAlterNumber"", [""endpoint"":endpoint, ""trxId"":findTestData(""phs-transaction/updateAlterNumber"").getValue(1, 1), ""genId"":findTestData(""phs-transaction/updateAlterNumber"").getValue(2, 1), ... ]))",,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.291s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.001s,PASSED
,,,,,,,
Test Cases/phs-transaction/updateStatusProcess,,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.474s,PASSED
"response = sendRequest(findTestObject(""phs-transaction/updateStatusProcess"", [""endpoint"":endpoint, ""genId"":findTestData(""phs-transaction/updateStatusProcess"").getValue(1, 1), ""statusProcess"":findTestData(""phs-transaction/updateStatusProcess"").getValue(2, 1)]))",,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.128s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,,2019-07-29 19:10:22,2019-07-29 19:10:22,0.000s,PASSED
